rownames,valueadded,capital,labor,firms,population,sqmiles,,,,,
Alabama,126.148,3.804,31.551,68,3266740,50645,,,,,
California,3201.486,185.446,452.844,1372,15717204,155959,,,,,
Connecticut,690.67,39.712,124.074,154,2535234,4842,,,,,
Florida,56.296,6.547,19.181,292,4951560,53624,,,,,
Georgia,304.531,11.53,45.534,71,3943116,57513,,,,,
Illinois,723.028,58.987,88.391,275,10081158,55518,,,,,
Indiana,992.169,112.884,148.53,260,4662498,35826,,,,,
Iowa,35.796,2.698,8.017,75,2757537,55857,,,,,
Kansas,494.515,10.36,86.189,76,2178611,81758,,,,,
Kentucky,124.948,5.213,12,31,3038156,39486,,,,,
Louisiana,73.328,3.763,15.9,115,3257022,43203,,,,,
Maine,29.467,1.967,6.47,81,969265,30842,,,,,
Maryland,415.262,17.546,69.342,129,3100689,9707,,,,,
Massachusetts,241.53,15.347,39.416,172,5148578,7800,,,,,
Michigan,4079.554,435.105,490.384,568,7823194,56538,,,,,
Missouri,652.085,32.84,84.831,125,4319813,68741,,,,,
New Jersey,667.113,33.292,83.033,247,6066782,7354,,,,,
New York,940.43,72.974,190.094,461,16782304,47126,,,,,
Ohio,1611.899,157.978,259.916,363,9706397,40860,,,,,
Pennsylvania,617.579,34.324,98.152,233,11319366,44742,,,,,
Texas,527.413,22.736,109.728,308,9579677,261232,,,,,
Virginia,174.394,7.173,31.301,85,3966949,39490,,,,,
Washington,636.948,30.807,87.963,179,2853214,66455,,,,,
West Virginia,22.7,1.543,4.063,15,1860421,24038,,,,,
Wisconsin,349.711,22.001,52.818,142,3951777,54157,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
